name,ra,dec,channel,x_pos,y_pos,scale,expected_flux,flux,sigma,unit
cx1647-4552,251.79248,-45.871361,4,170.57852656905644,425.3122148871124,109.15499144347811,1128.8667313595631,782.1915988268853,143.9676738751575,uJy
cx1647-4552,251.79248,-45.871361,4,170.57852656905644,428.1402148871124,109.15499144347811,1128.8667313595631,751.9902510513547,174.46830709998264,uJy
cx1647-4552,251.79248,-45.871361,4,170.57852656905644,430.96821488711237,109.15499144347811,1128.8667313595631,525.7052394030119,199.10504509015547,uJy
1r1708-4009,257.19528,-40.147903,1,607.1760006507864,483.7913353519239,51.75591183906166,493.1691449364588,94.27187520223205,83.37702651203757,uJy
1r1708-4009,257.19528,-40.147903,1,607.1760006507864,486.6193353519239,51.75591183906166,493.1691449364588,-233.1105538902339,171.2742456667513,uJy
1r1708-4009,257.19528,-40.147903,1,607.1760006507864,489.44733535192387,51.75591183906166,493.1691449364588,95.5315511295246,531.6262465783624,uJy
1r1708-4009,257.19528,-40.147903,1,610.0040006507863,483.7913353519239,51.75591183906166,493.1691449364588,536.5118966083322,102.21015362544735,uJy
1r1708-4009,257.19528,-40.147903,1,610.0040006507863,486.6193353519239,51.75591183906166,493.1691449364588,780.0984793184745,129.94558604854907,uJy
1r1708-4009,257.19528,-40.147903,1,610.0040006507863,489.44733535192387,51.75591183906166,493.1691449364588,1159.2280488212828,1029.9880811772737,uJy
1r1708-4009,257.19528,-40.147903,1,612.8320006507863,483.7913353519239,51.75591183906166,493.1691449364588,583.0169318042184,76.73715008828863,uJy
1r1708-4009,257.19528,-40.147903,1,612.8320006507863,486.6193353519239,51.75591183906166,493.1691449364588,1051.8434803465243,93.80658387949813,uJy
1r1708-4009,257.19528,-40.147903,1,612.8320006507863,489.44733535192387,51.75591183906166,493.1691449364588,1217.6546340918728,866.3647492422904,uJy
1r1708-4009,257.19528,-40.147903,1,607.1760006507864,483.7913353519239,95.33983759827149,908.4694775145296,417.39249857378195,83.61872369597965,uJy
1r1708-4009,257.19528,-40.147903,1,607.1760006507864,486.6193353519239,95.33983759827149,908.4694775145296,82.76319307502825,171.51389741392998,uJy
1r1708-4009,257.19528,-40.147903,1,607.1760006507864,489.44733535192387,95.33983759827149,908.4694775145296,416.5558498319099,531.4763024523327,uJy
1r1708-4009,257.19528,-40.147903,1,610.0040006507863,483.7913353519239,95.33983759827149,908.4694775145296,860.3038381349947,102.31807936517335,uJy
1r1708-4009,257.19528,-40.147903,1,610.0040006507863,486.6193353519239,95.33983759827149,908.4694775145296,1103.2117793006917,130.10375293601192,uJy
1r1708-4009,257.19528,-40.147903,1,610.0040006507863,489.44733535192387,95.33983759827149,908.4694775145296,1481.0961795822905,1029.7246819369077,uJy
1r1708-4009,257.19528,-40.147903,1,612.8320006507863,483.7913353519239,95.33983759827149,908.4694775145296,902.632942219656,76.79363030397457,uJy
1r1708-4009,257.19528,-40.147903,1,612.8320006507863,486.6193353519239,95.33983759827149,908.4694775145296,1367.3355780854356,93.84405654423861,uJy
1r1708-4009,257.19528,-40.147903,1,612.8320006507863,489.44733535192387,95.33983759827149,908.4694775145296,1525.406315005403,866.2837674917133,uJy
1r1708-4009,257.19528,-40.147903,2,292.5620524175936,286.30068011982394,45.04553699807465,427.31998217853544,349.99675844053627,78.96385338271702,uJy
1r1708-4009,257.19528,-40.147903,2,292.5620524175936,289.1286801198239,45.04553699807465,427.31998217853544,147.84097170114518,63.19895667961628,uJy
1r1708-4009,257.19528,-40.147903,2,292.5620524175936,291.9566801198239,45.04553699807465,427.31998217853544,51.50530258759262,91.1031951650255,uJy
1r1708-4009,257.19528,-40.147903,2,295.39005241759355,286.30068011982394,45.04553699807465,427.31998217853544,673.4163566741408,45.266210898226845,uJy
1r1708-4009,257.19528,-40.147903,2,295.39005241759355,289.1286801198239,45.04553699807465,427.31998217853544,161.12129644897433,112.64905096663598,uJy
1r1708-4009,257.19528,-40.147903,2,295.39005241759355,291.9566801198239,45.04553699807465,427.31998217853544,30.21970700036884,150.10643614935043,uJy
1r1708-4009,257.19528,-40.147903,2,298.2180524175935,286.30068011982394,45.04553699807465,427.31998217853544,732.467773456812,229.47679234221374,uJy
1r1708-4009,257.19528,-40.147903,2,298.2180524175935,289.1286801198239,45.04553699807465,427.31998217853544,742.888267588085,454.43990480682055,uJy
